decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return,avg_momentum,holding_return
2016-07,2016-07-01,2016-08-01,2016-07-01,104,80,3,1,3,NVDA,0.09876681267466976,0.21581668867866788,NTES,0.09724269171678708,0.09828246414588615,ULTA,0.07940157522374254,0.06904899258126362,0.09180369320506647,0.12771604846860588
2016-07,2016-07-01,2016-09-01,2016-07-01,104,80,3,2,3,NVDA,0.09876681267466976,0.3559020180557122,NTES,0.09724269171678708,0.17400610972906905,ULTA,0.07940157522374254,0.007302858534426138,0.09180369320506647,0.17907032877306914
2016-07,2016-07-01,2016-10-03,2016-07-01,104,80,3,3,3,NVDA,0.09876681267466976,0.46969842081562385,NTES,0.09724269171678708,0.3314215186506313,ULTA,0.07940157522374254,-0.025190773985687365,0.09180369320506647,0.25864305516018926
2016-08,2016-08-01,2016-09-01,2016-08-01,104,81,3,1,1,STX,0.18465021502816711,0.03946946596785117,,,,,,,0.18465021502816711,0.03946946596785117
2016-08,2016-08-01,2016-10-03,2016-08-01,104,81,3,2,1,STX,0.18465021502816711,0.20525756420950847,,,,,,,0.18465021502816711,0.20525756420950847
2016-08,2016-08-01,2016-11-01,2016-08-01,104,81,3,3,1,STX,0.18465021502816711,0.05777737543595052,,,,,,,0.18465021502816711,0.05777737543595052
2016-08,2016-08-01,2016-09-01,2016-08-01,104,81,3,1,2,STX,0.18465021502816711,0.03946946596785117,NVDA,0.17208884530446264,0.11521912035052506,,,,0.17836953016631488,0.07734429315918812
2016-08,2016-08-01,2016-10-03,2016-08-01,104,81,3,2,2,STX,0.18465021502816711,0.20525756420950847,NVDA,0.17208884530446264,0.20881579805658945,,,,0.17836953016631488,0.20703668113304896
2016-08,2016-08-01,2016-11-01,2016-08-01,104,81,3,3,2,STX,0.18465021502816711,0.05777737543595052,NVDA,0.17208884530446264,0.21941195726495533,,,,0.17836953016631488,0.13859466635045292
2016-08,2016-08-01,2016-09-01,2016-08-01,104,81,3,1,3,STX,0.18465021502816711,0.03946946596785117,NVDA,0.17208884530446264,0.11521912035052506,NTES,0.1384871802188441,0.06894733190707147,0.16507541351715796,0.07454530607514924
2016-08,2016-08-01,2016-10-03,2016-08-01,104,81,3,2,3,STX,0.18465021502816711,0.20525756420950847,NVDA,0.17208884530446264,0.20881579805658945,NTES,0.1384871802188441,0.21227604201625216,0.16507541351715796,0.20878313476078336
2016-08,2016-08-01,2016-11-01,2016-08-01,104,81,3,3,3,STX,0.18465021502816711,0.05777737543595052,NVDA,0.17208884530446264,0.21941195726495533,NTES,0.1384871802188441,0.23292137943170999,0.16507541351715796,0.17003690404420527
2016-09,2016-09-01,2016-10-03,2016-09-01,104,81,3,1,1,STX,0.14445368049084348,0.15949299490706226,,,,,,,0.14445368049084348,0.15949299490706226
2016-09,2016-09-01,2016-11-01,2016-09-01,104,81,3,2,1,STX,0.14445368049084348,0.01761274387319567,,,,,,,0.14445368049084348,0.01761274387319567
2016-09,2016-09-01,2016-12-01,2016-09-01,104,81,3,3,1,STX,0.14445368049084348,0.1504364548559487,,,,,,,0.14445368049084348,0.1504364548559487
2016-09,2016-09-01,2016-10-03,2016-09-01,104,81,3,1,2,STX,0.14445368049084348,0.15949299490706226,NTAP,0.12832466151211483,0.012310138282101368,,,,0.13638917100147915,0.08590156659458181
2016-09,2016-09-01,2016-11-01,2016-09-01,104,81,3,2,2,STX,0.14445368049084348,0.01761274387319567,NTAP,0.12832466151211483,-0.047484061464531435,,,,0.13638917100147915,-0.014935658795667883
2016-09,2016-09-01,2016-12-01,2016-09-01,104,81,3,3,2,STX,0.14445368049084348,0.1504364548559487,NTAP,0.12832466151211483,0.020162459807141264,,,,0.13638917100147915,0.08529945733154498
2016-09,2016-09-01,2016-10-03,2016-09-01,104,81,3,1,3,STX,0.14445368049084348,0.15949299490706226,NTAP,0.12832466151211483,0.012310138282101368,EBAY,0.11008038899544352,0.013071912970419541,0.12761957699946727,0.061625015386527725
2016-09,2016-09-01,2016-11-01,2016-09-01,104,81,3,2,3,STX,0.14445368049084348,0.01761274387319567,NTAP,0.12832466151211483,-0.047484061464531435,EBAY,0.11008038899544352,-0.116713489489646,0.12761957699946727,-0.04886160236032725
2016-09,2016-09-01,2016-12-01,2016-09-01,104,81,3,3,3,STX,0.14445368049084348,0.1504364548559487,NTAP,0.12832466151211483,0.020162459807141264,EBAY,0.11008038899544352,-0.1475258845392876,0.12761957699946727,0.00769101004126745
2016-10,2016-10-03,2016-11-01,2016-10-03,104,81,3,1,1,STX,0.1828417456408309,-0.12236404329914807,,,,,,,0.1828417456408309,-0.12236404329914807
